Symbol,Strike Date,C/P,Strike,Exp Date,Premium,Contracts,Total Open Premium,Current Price,Close Cost,Status,Profit/Loss
TMO,08-05-2025,C,545,08-29-2025,0.95,2,190,486,0,O,190
MU,08-05-2025,C,138,08-29-2025,0.4,1,40,108,0,O,40
VRT,08-05-2025,C,185,08-29-2025,0.6,1,60,148,0,O,60
WAT,08-05-2025,C,320,08-15-2025,0.45,1,45,288,0,O,45
KKR,08-05-2025,P,130,08-29-2025,0.6,9,540,148,0,O,540
KKR,08-05-2025,P,130,08-29-2025,0.75,8,600,148,0,O,600
DE,08-05-2025,P,440,08-29-2025,1.75,4,700,512,0,O,700
DE,08-05-2025,P,430,08-29-2025,1.25,4,500,512,0,O,500
TMO,08-05-2025,P,410,08-29-2025,0.65,2,130,487,0,O,130
VRT,08-05-2025,P,120,08-29-2025,0.78,1,78,151,0,O,78
ETN,08-05-2025,P,330,08-29-2025,3.0,1,300,360,0,O,300
CSL,08-05-2025,P,360,08-15-2025,4.0,1,400,360,0,O,400
AMD,08-05-2025,C,230,08-29-2025,0.75,2,150,175,0,O,150
AMD,08-05-2025,P,135,08-29-2025,0.7,2,140,175,0,O,140
DE,08-05-2025,C,540,08-08-2025,0.9,4,360,512,0,O,360
DE,08-05-2025,C,545,08-08-2025,0.6,4,240,512,0,O,240
