Symbol,Open Date,C/P,Strike,Exp Date,Premium,Contracts,Total Open Premium,Current Price,Open Price,Close Cost,Status,Profit/Loss
AMD,08-06-2025,P,135,08-29-2025,0.65,2,130,161,0,C,130,
AMD,09-03-2025,C,195,09-26-2025,0.40,2,80,162,0,O,80,
AMD,09-03-2025,P,135,09-26-2025,0.65,2,130,162,0,O,130,
AMD,08-03-2025,C,215,08-29-2025,0.60,2,120,171,0,C,120,
AMD,09-30-2025,P,130,10-31-2025,0.82,2,164,162,0,O,164,
AMD,09-30-2025,C,210,10-31-2025,0.49,2,98,257,9500,C,-9402,
AMD,10-09-2025,P,190,10-31-2025,1.80,2,360,230,0,O,360,
AMD,11-05-2025,C,330,11-28-2025,1.37,2,274,256,0,O,274,
AMD,11-05-2025,P,205,11-28-2025,1.25,2,250,256,0,O,250,
CSL,08-05-2025,P,360,08-15-2025,4.00,1,400,360,0,C,400,
CSL,08-19-2025,C,420,09-19-2025,1.45,1,145,384,0,O,145,
CSL,08-20-2025,P,340,09-19-2025,1.10,1,110,383,0,O,110,
CSL,11-06-2025,P,310,11-21-2025,3.90,1,390,326,0,O,390,
CSL,11-06-2025,P,280,11-21-2025,0.80,1,80,328,0,O,80,
DE,08-05-2025,P,440,08-29-2025,1.75,4,700,512,0,C,700,
DE,08-05-2025,P,430,08-29-2025,1.25,4,500,512,0,C,500,
DE,08-05-2025,C,540,08-08-2025,0.90,4,360,512,0,C,360,
DE,08-05-2025,C,545,08-08-2025,0.60,4,240,512,0,C,240,
DE,08-15-2025,C,520,08-29-2025,0.76,4,304,489,0,C,304,
DE,09-02-2025,P,430,09-26-2025,1.20,4,480,475,0,O,480,
DE,09-02-2025,P,420,09-26-2025,0.90,4,360,475,0,O,360,
DE,09-03-2025,C,510,09-26-2025,0.80,4,320,470,0,O,320,
DE,09-04-2025,C,510,09-26-2025,0.78,4,312,475,0,O,312,
DE,09-30-2025,P,410,10-31-2025,1.76,4,704,456,0,O,704,
DE,10-01-2025,C,500,10-31-2025,1.04,4,416,453,0,O,416,
DE,10-01-2025,P,400,10-31-2025,1.25,4,500,450,0,O,500,
DE,10-02-2025,C,510,10-31-2025,0.95,4,380,460,0,O,380,
DE,11-03-2025,C,500,11-14-2025,0.60,4,240,463,0,O,240,
DE,11-05-2025,C,495,11-14-2025,1.00,4,400,474,0,O,400,
DE,11-06-2025,P,440,11-14-2025,0.85,8,680,462,0,O,680,
DE,11-17-2025,C,500,11-21-2025,0.64,8,512,478,0,O,512,
ETN,08-05-2025,P,330,08-29-2025,3.00,1,300,360,0,C,300,
ETN,08-07-2025,C,395,08-29-2025,0.70,1,70,358,0,C,70,
ETN,09-02-2025,P,300,09-26-2025,0.90,1,90,343,0,O,90,
